hour,trade,weight,tp,sl,performance,trade_lvl2
0,True,0.37,3.0,0.6,0.28,True
1,True,0.4,7.0,1.4,-0.02,False
2,True,0.83,3.0,0.6,-1.95,False
3,True,1.0,3.0,0.6,20.6,True
4,False,,,,-1.42,False
5,True,0.4,6.0,1.2,-0.8,False
6,True,1.0,4.0,0.8,8.9,True
7,False,,,,-1.17,False
8,True,0.33,7.0,1.4,-0.09,False
9,True,0.33,1.8,0.6,-2.04,False
10,True,1.0,7.0,1.4,27.78,True
11,True,0.64,7.0,1.4,0.98,True
12,True,1.0,6.0,1.2,18.43,True
13,False,,,,0.0,False
14,True,0.74,3.2,0.8,-0.75,False
15,True,1.0,7.0,1.4,7.16,True
16,True,1.0,7.0,1.4,17.81,True
17,True,0.8,7.0,1.4,-7.47,False
18,True,0.74,7.0,1.4,-0.06,False
19,True,0.62,7.0,1.4,-2.24,False
20,True,0.17,7.0,1.4,-3.43,False
21,True,0.31,7.0,1.4,-6.25,False
22,True,0.46,2.4,0.8,-1.78,False
23,True,0.63,6.0,1.2,1.24,True
